user_id,session_id,timestamp,profession,tool,use_case,iterations,prompt_complexity,quality_with_ai,quality_without_ai,productivity_gain,final_quality_label,confidence_with_ai,confidence_without_ai,overreliance_score,learning_loss,hallucination_flag,failure_type,ease_of_use,ui_complexity,requires_login,subscription_type,session_length,deadline_pressure
43140,3817,2024-10-27 03:19:50,Software Developer,ChatGPT,Blog Writing,5,low,10.0,4.139298798163761,58.61,high,10,4,8.38,1,0,none,9,low,1,freemium,13,low
9263,89304,2023-11-19 05:49:56,Architect,Perplexity AI,Medical Notes,4,medium,8.0,6.379618501065041,16.2,high,7,5,7.27,0,0,none,5,medium,1,paid,6,medium
33655,113595,2023-08-29 17:39:22,HR Manager,Grammarly AI,Image Generation,6,low,9.0,6.240725393320012,27.59,high,8,7,5.14,0,0,none,7,medium,0,paid,56,medium
11705,155151,2023-03-18 08:10:46,Accountant,Claude,Marketing Copy,3,medium,7.5,6.113465022638508,13.87,medium,7,6,7.73,0,0,none,10,low,1,free,44,high
4384,4358,2023-12-04 14:00:47,Scientist,Gemini,Marketing Copy,2,medium,7.0,5.221701185939341,17.78,medium,6,4,3.65,0,0,none,7,medium,0,freemium,36,medium
28467,113897,2024-07-02 10:26:29,Business Analyst,Canva AI,Code Generation,4,medium,8.0,5.816262806353103,21.84,high,7,5,6.31,0,0,none,10,medium,1,paid,34,high
3996,81393,2024-10-23 22:47:01,Mechanical Engineer,AutoGPT,Marketing Copy,6,low,9.0,5.98399897201854,30.16,high,8,7,4.67,0,0,none,9,medium,0,freemium,32,medium
16150,162553,2023-06-23 15:50:10,Scientist,Canva AI,Resume Building,1,medium,6.5,5.631272983746133,8.69,medium,7,5,3.26,1,1,hallucination,5,medium,0,paid,22,high
17126,18884,2024-10-23 02:26:27,Business Analyst,Synthesia,Code Generation,6,low,9.0,6.401780752547035,25.98,high,8,7,3.47,0,0,none,8,high,0,freemium,44,low
19668,55675,2023-07-28 07:17:42,Sales Executive,Pictory,Email Drafting,6,low,9.0,4.515089525343164,44.85,high,9,5,8.85,0,1,hallucination,10,low,0,free,11,high
3563,199375,2023-06-02 19:40:19,Nurse,Grammarly AI,Data Analysis,2,medium,7.0,5.960961016712854,10.39,medium,7,4,8.29,1,0,none,10,medium,0,freemium,5,low
44302,95765,2024-09-16 08:16:16,Entrepreneur,Gemini,Legal Drafting,5,high,8.5,6.187958586813679,23.12,high,8,6,5.14,1,1,hallucination,6,low,0,freemium,35,low
27667,85914,2024-06-02 07:20:45,Journalist,Claude,UI Design,5,high,8.5,4.779556119994677,37.2,high,7,4,8.43,0,0,none,7,high,0,free,45,high
8869,74482,2024-02-29 15:42:22,Police Officer,Synthesia,Blog Writing,5,high,8.5,4.786762122825553,37.13,high,9,4,5.97,1,1,irrelevant,8,high,0,free,13,medium
19374,169739,2024-06-06 09:50:57,Video Editor,GitHub Copilot,Research Summary,1,medium,6.5,6.763678878806961,-2.64,medium,6,6,7.31,1,1,hallucination,10,medium,1,freemium,51,high
40180,13402,2023-11-30 15:16:30,Lawyer,Replit Ghostwriter,Code Generation,1,low,6.5,3.2180434010572387,32.82,medium,6,2,6.83,1,1,irrelevant,5,medium,1,freemium,7,high
48551,63063,2023-06-23 04:35:45,Student,DALL-E,Blog Writing,3,high,7.5,4.372722795364096,31.27,medium,8,4,7.63,1,1,irrelevant,6,medium,0,freemium,36,low
28299,104925,2024-10-17 00:01:51,Scientist,Midjourney,Medical Notes,6,medium,9.0,6.018729933128382,29.81,high,8,5,3.02,0,0,none,7,high,0,freemium,55,high
